model_id,task_id,score,reported_by,url,notes
lfm2-vl-450m,ocrbench,657,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-450m,mm-ifeval,33.09,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,mmstar,49.87,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,mmbench,69.16,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
lfm2-vl-1.6b,rwqa,65.75,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,mme,1757,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,seedbench,72.00,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,pope,87.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,mmmu,39.67,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,infovqa,58.35,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
lfm2-vl-1.6b,mathvista,51.70,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,blink,44.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-1.6b,pope,87.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mmstar,57.73,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mmbench,79.81,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
lfm2-vl-3b,rwqa,71.37,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mme,2051,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,seedbench,76.55,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,pope,89.01,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mmmu,45.33,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,mathvista,62.20,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,blink,51.03,Liquid AI,http://arxiv.org/pdf/2511.23404,
lfm2-vl-3b,infovqa,67.37,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
lfm2-vl-3b,ocrbench,822,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
lfm2-vl-3b,mm-ifeval,51.83,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
internvl3.5-1b,mmstar,50.27,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mmbench,70.79,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
internvl3.5-1b,rwqa,57.12,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mme,1894,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,seedbench,72.67,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,pope,86.30,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mmmu,41.89,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mathvista,53.10,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,blink,44.19,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,infovqa,60.99,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
internvl3.5-1b,ocrbench,790,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-1b,mm-ifeval,36.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mmstar,49.0,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mmbench,77.58,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
qwen3-vl-2b,rwqa,65.75,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mme,2045,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,seedbench,74.08,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,pope,89.05,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mmmu,45.78,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mathvista,63.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,blink,54.87,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,infovqa,71.68,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
qwen3-vl-2b,ocrbench,864,Liquid AI,http://arxiv.org/pdf/2511.23404,
qwen3-vl-2b,mm-ifeval,51.35,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mmstar,57.67,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mmbench,78.18,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
internvl3.5-2b,rwqa,60.78,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mme,2129,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,seedbench,75.41,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,pope,87.17,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mmmu,51.78,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mathvista,61.60,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,blink,50.97,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,infovqa,69.29,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
internvl3.5-2b,ocrbench,834,Liquid AI,http://arxiv.org/pdf/2511.23404,
internvl3.5-2b,mm-ifeval,47.31,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mmstar,37.73,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mmbench,51.29,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
smolvlm2-500m,rwqa,51.37,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mme,1456,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,seedbench,60.34,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,pope,85.83,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mmmu,33.89,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mathvista,34.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,blink,40.45,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,infovqa,24.64,Liquid AI,http://arxiv.org/pdf/2511.23404,(val)
smolvlm2-500m,ocrbench,562,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-500m,mm-ifeval,11.56,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mmstar,46.00,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mmbench,69.24,Liquid AI,http://arxiv.org/pdf/2511.23404,(dev)
smolvlm2-2.2b,rwqa,57.50,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mme,1793,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,seedbench,71.30,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,pope,85.10,Liquid AI,http://arxiv.org/pdf/2511.23404,
smolvlm2-2.2b,mmmu,41.60,Liquid AI,http://arxiv.org/pdf/2511.23404,
