model_id,task_id,score,reported_by,url,notes
moondream3-preview,pope,89.0,Moondream,https://docs.moondream.ai/#performance-benchmarks,
qwen3.5-122b-a10b,vqav2
qwen3.5-122b-a10b,chartqa
qwen3.5-122b-a10b,textvqa
qwen3.5-122b-a10b,mme
qwen3.5-122b-a10b,blink
qwen3.5-122b-a10b,mmmu,83.9,Qwen,https://huggingface.co/Qwen/Qwen3.5-122B-A10B#vision-language,
qwen3.5-122b-a10b,mmmu-pro,76.9,Qwen,https://huggingface.co/Qwen/Qwen3.5-122B-A10B#vision-language,
qwen3.5-122b-a10b,infovqa
qwen3.5-122b-a10b,zerobench,9,Qwen,https://huggingface.co/Qwen/Qwen3.5-122B-A10B#vision-language,
qwen3.5-122b-a10b,pope
qwen3.5-122b-a10b,mmstar,82.9,Qwen,https://huggingface.co/Qwen/Qwen3.5-122B-A10B#vision-language,
qwen3.5-122b-a10b,rwqa,85.1,Qwen,https://huggingface.co/Qwen/Qwen3.5-122B-A10B#vision-language,
qwen3.5-35b-a3b,vqav2
qwen3.5-35b-a3b,chartqa
qwen3.5-35b-a3b,textvqa
qwen3.5-35b-a3b,mme
qwen3.5-35b-a3b,blink
qwen3.5-35b-a3b,mmmu,81.4,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B#vision-language,
qwen3.5-35b-a3b,mmmu-pro,75.1,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B#vision-language,
qwen3.5-35b-a3b,infovqa
qwen3.5-35b-a3b,zerobench,8,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B#vision-language,
qwen3.5-35b-a3b,pope
qwen3.5-35b-a3b,mmstar,81.9,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B#vision-language,
qwen3.5-35b-a3b,rwqa,84.1,Qwen,https://huggingface.co/Qwen/Qwen3.5-35B-A3B#vision-language,
qwen3.5-27b,vqav2
qwen3.5-27b,chartqa
qwen3.5-27b,textvqa
qwen3.5-27b,mme
qwen3.5-27b,blink
qwen3.5-27b,mmmu,82.3,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B#vision-language,
qwen3.5-27b,mmmu-pro,75.0,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B#vision-language,
qwen3.5-27b,infovqa
qwen3.5-27b,zerobench,10,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B#vision-language,
qwen3.5-27b,pope
qwen3.5-27b,mmstar,81.0,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B#vision-language,
qwen3.5-27b,rwqa,83.7,Qwen,https://huggingface.co/Qwen/Qwen3.5-27B#vision-language,
qwen3.5-2b,mmmu,64.2,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
qwen3.5-2b,mmmu-pro,47.7,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
qwen3.5-2b,mathvista,73.9,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,mini
qwen3.5-2b,dynamath,69.6,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
qwen3.5-2b,zerobench,0,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
qwen3.5-2b,vlmsblind,74.3,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
qwen3.5-2b,rwqa,71.2,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
qwen3.5-2b,mmstar,68.0,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
qwen3.5-2b,mmbench,81.3,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,EN-DEV-v1.1
qwen3.5-2b,simplevqa,39.5,Qwen,https://huggingface.co/Qwen/Qwen3.5-2B#vision-language,
